City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,302.14,74,100,6.17,CC,1731389527
1,vilyuchinsk,52.9306,158.4028,275.3,75,15,12.45,RU,1731389648
2,les cayes,18.2,-73.75,298.45,94,100,5.84,HT,1731389649
3,mount pearl,47.5166,-52.7813,281.11,93,100,11.83,CA,1731389531
4,waitangi,-43.9535,-176.5597,285.27,72,18,1.34,NZ,1731389652
5,pula,44.8683,13.8481,280.46,70,0,5.66,HR,1731389655
6,dunedin,-45.8742,170.5036,284.35,69,53,2.97,NZ,1731389547
7,jamestown,42.097,-79.2353,280.38,81,100,7.2,US,1731389577
8,hawaiian paradise park,19.5933,-154.9731,295.88,97,40,1.54,US,1731389561
9,qaqortoq,60.7167,-46.0333,269.91,76,7,10.08,GL,1731389662
10,tillaberi,14.2117,1.4531,294.18,19,0,4.57,NE,1731389663
11,wenchang,30.904,118.4887,295.89,51,0,5.7,CN,1731389664
12,blackmans bay,-43.0167,147.3167,294.22,58,1,3.89,AU,1731389666
13,port-aux-francais,-49.35,70.2167,278.28,93,100,10.17,TF,1731389667
14,uturoa,-16.7333,-151.4333,299.21,79,77,9.18,PF,1731389668
15,ushuaia,-54.8,-68.3,279.96,87,75,0.51,AR,1731389670
16,ribeira grande,38.5167,-28.7,294.14,95,100,6.26,PT,1731389671
17,prado,-17.3411,-39.2208,294.47,88,29,2.14,BR,1731389673
18,adamstown,-25.066,-130.1015,294.9,67,100,1.59,PN,1731389674
19,necochea,-38.5473,-58.7368,281.51,78,46,3.83,AR,1731389675
20,nuuk,64.1835,-51.7216,271.49,74,75,4.12,GL,1731389677
21,wanning,18.8003,110.3967,299.01,82,98,5.72,CN,1731389678
22,yellowknife,62.456,-114.3525,266.16,99,100,7.15,CA,1731389518
23,ingeniero jacobacci,-41.3427,-69.5448,279.16,73,100,8.54,AR,1731389681
24,olonkinbyen,70.9221,-8.7187,275.07,98,100,9.27,SJ,1731389528
25,iskateley,67.6803,53.1512,261.87,91,69,2.8,RU,1731389684
26,anadyr,64.75,177.4833,260.43,77,75,4.0,RU,1731389571
27,utrik,11.2278,169.8474,300.87,80,58,6.66,MH,1731389686
28,upington,-28.4478,21.2561,292.36,27,0,1.54,ZA,1731389688
29,alaghsas,17.0187,8.0168,291.09,34,0,2.57,NE,1731389689
30,san rafael,-34.6177,-68.3301,288.98,38,5,2.77,AR,1731389690
31,klyuchi,52.2667,79.1667,266.67,68,100,7.4,RU,1731389692
32,novyy urengoy,66.0833,76.6333,249.04,96,87,5.63,RU,1731389693
33,tura,25.5198,90.2201,300.54,49,0,1.1,IN,1731389572
34,kangding,30.0513,101.9603,291.34,38,0,1.15,CN,1731389540
35,udachny,66.4167,112.4,256.88,97,100,1.99,RU,1731389697
36,chagoda,59.164,35.3285,271.53,94,100,1.93,RU,1731389699
37,taksimo,56.3444,114.8794,261.01,77,97,1.21,RU,1731389700
38,chonchi,-42.6128,-73.8092,282.66,95,100,1.31,CL,1731389701
39,jose panganiban,14.2906,122.6917,301.93,83,23,1.83,PH,1731389703
40,tarinkot,32.6268,65.8733,289.67,24,28,0.97,AF,1731389704
41,taiynsha,53.8478,69.7639,262.1,92,55,5.03,KZ,1731389706
42,krupki,54.3178,29.1358,273.12,91,46,1.96,BY,1731389707
43,holualoa,19.6228,-155.9522,296.23,87,25,0.79,US,1731389708
44,twon-brass,4.3151,6.2418,299.88,79,22,2.47,NG,1731389710
45,tiksi,71.6872,128.8694,253.66,97,100,0.5,RU,1731389711
